,term,estimate,std.error,statistic,coef.type,p.value
1,WIDTH,0.012525217147825604,0.027427716340686973,0.45666277834605495,coefficient,0.6481266845443396
2,HEIGHT,0.29004981037874444,0.06251600990234733,4.6396084911979285,coefficient,4.545007978585176e-06
3,1|2,-1.2149518884628725,0.13725816579289515,-8.851581845382357,scale,1.8190277134801724e-17
4,2|3,-0.21137493182665823,0.12116389877903216,-1.744537225664427,scale,0.0817261500188612
5,3|4,0.5797491842883101,0.12650560711225503,4.582794371903756,scale,5.902561871246712e-06
6,4|5,1.3528147152899015,0.14053973700853378,9.625852047864274,scale,4.032908713688431e-20
7,5|6,2.291826904456302,0.1641338052159235,13.963161954609701,scale,2.9786592086291345e-37
