,term,estimate,std.error,statistic,coef.type,p.value
1,WIDTH:CYCLIST_TYPECOMMUTER,0.030395353152394982,0.04803914464855152,0.6327205318654954,coefficient,0.5272368201203601
2,WIDTH:CYCLIST_TYPENONCYCLIST,0.30553985544531165,0.3460780325443911,0.8828640558285661,coefficient,0.3777800620892656
3,WIDTH:CYCLIST_TYPERECREATIONAL,0.08145444007924958,0.07809791491522239,1.0429784222494392,coefficient,0.29751702376101213
4,WIDTH:CYCLIST_TYPESOCIAL,-0.20233427393547873,0.18705012319096084,-1.081711524610514,coefficient,0.2799587716171725
5,WIDTH:CYCLIST_TYPESOCIAL-REC,0.06888333952653469,0.08465714318612681,0.813674274066727,coefficient,0.4162609449187864
6,WIDTH:CYCLIST_FREQMONTHLY,-0.09246191350536136,0.103404979272576,-0.894172738641834,coefficient,0.3717063972740381
7,WIDTH:CYCLIST_FREQRARELY,0.0011683614745023746,0.19095765125698186,0.006118432368703825,coefficient,0.9951209331326623
8,WIDTH:CYCLIST_FREQWEEKLY,-0.011683961773222427,0.07678266639377733,-0.15216926322018592,coefficient,0.8791214849355657
9,HEIGHT:CYCLIST_TYPECOMMUTER,0.22920796147366196,0.10461103036879116,2.1910496499807164,coefficient,0.028959132124941455
10,HEIGHT:CYCLIST_TYPENONCYCLIST,0.060700323730108266,0.6472844234138889,0.09377689549512773,coefficient,0.9253280312801111
11,HEIGHT:CYCLIST_TYPERECREATIONAL,0.16845909124044636,0.1665247041023039,1.0116162172367775,coefficient,0.3122640016108805
12,HEIGHT:CYCLIST_TYPESOCIAL,0.6370939672495205,0.41037668075740297,1.5524614265939323,coefficient,0.12125327801493178
13,HEIGHT:CYCLIST_TYPESOCIAL-REC,0.06200787394278046,0.18170497042426537,0.3412557939279121,coefficient,0.7330699534408027
14,HEIGHT:CYCLIST_FREQMONTHLY,0.2733794006494931,0.22127164498259577,1.2354922415431762,coefficient,0.21729054090943511
15,HEIGHT:CYCLIST_FREQRARELY,0.13122694819155759,0.4164453011759453,0.315112087520265,coefficient,0.7528222952816287
16,HEIGHT:CYCLIST_FREQWEEKLY,0.11951526393744921,0.16371920508723367,0.7300014917233961,coefficient,0.4657682689525563
17,1|2,-1.2327063203396988,0.13794180259548014,-8.936423166475935,scale,1.0341032393260072e-17
18,2|3,-0.22289683643072689,0.12191156978062888,-1.828348505657123,scale,0.06815761448406989
19,3|4,0.5777118181335371,0.12739309202814633,4.534875548871182,scale,7.396673988617806e-06
20,4|5,1.3680308233605833,0.14210573273958024,9.626851760214388,scale,4.4854314037672155e-20
21,5|6,2.3404642261760333,0.1672361098368062,13.994969318886486,scale,3.2439801932651605e-37
