,term,estimate,std.error,statistic,coef.type,p.value
1,WIDTH,1.530196431635544,0.11853098135549685,12.9096748726495,coefficient,5.895522831857261e-32
2,HEIGHT,1.4889983304751628,0.11462102079238096,12.990621791549591,coefficient,2.825144921197014e-32
3,1|2,1.5069254524322642,0.24104399850220926,6.251661363883543,scale,1.074027752755275e-09
4,2|3,3.217267179642477,0.2918214894435968,11.02477814699904,scale,9.169124557525725e-25
5,3|4,4.444578623943251,0.3258033365106329,13.641906407542875,scale,7.145041325535441e-35
6,4|5,5.788194524331046,0.36050138354099137,16.055956477828303,scale,8.023479668277368e-45
