,chid,AGE,GENDER,CYCLIST_TYPE,CYCLIST_FREQ,variable,value,WIDTH,HEIGHT
338,26,48,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,5,12.0,5.0
339,27,33,Female,SOCIAL-REC,WEEKLY,PARKINGPROTECT,3,12.0,5.0
340,28,56,Female,RECREATIONAL,DAILY,PARKINGPROTECT,4,12.0,5.0
341,29,58,Non-binary / Non-conforming,RECREATIONAL,DAILY,PARKINGPROTECT,5,12.0,5.0
342,30,20,Prefer not to say,RECREATIONAL,WEEKLY,PARKINGPROTECT,6,12.0,5.0
343,31,54,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,5,12.0,5.0
344,32,48,Female,SOCIAL-REC,WEEKLY,PARKINGPROTECT,5,12.0,5.0
345,33,50,Female,SOCIAL-REC,WEEKLY,PARKINGPROTECT,2,12.0,5.0
346,34,67,Male,SOCIAL-REC,WEEKLY,PARKINGPROTECT,2,12.0,5.0
347,35,21,Female,SOCIAL,RARELY,PARKINGPROTECT,6,12.0,5.0
348,36,60,Male,SOCIAL-REC,DAILY,PARKINGPROTECT,2,12.0,5.0
349,37,59,Female,SOCIAL,RARELY,PARKINGPROTECT,5,12.0,5.0
350,38,54,Male,SOCIAL-REC,WEEKLY,PARKINGPROTECT,5,12.0,5.0
351,39,54,Female,NONCYCLIST,RARELY,PARKINGPROTECT,6,12.0,5.0
352,40,41,Female,SOCIAL,MONTHLY,PARKINGPROTECT,3,12.0,5.0
353,41,52,Female,SOCIAL-REC,WEEKLY,PARKINGPROTECT,5,12.0,5.0
354,42,52,Female,COMMUTER,MONTHLY,PARKINGPROTECT,3,12.0,5.0
355,43,31,Male,COMMUTER,DAILY,PARKINGPROTECT,2,12.0,5.0
356,44,58,Female,RECREATIONAL,WEEKLY,PARKINGPROTECT,6,12.0,5.0
357,45,69,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,5,12.0,5.0
358,46,59,Female,SOCIAL,RARELY,PARKINGPROTECT,4,12.0,5.0
359,47,52,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,1,12.0,5.0
360,48,43,Male,SOCIAL-REC,MONTHLY,PARKINGPROTECT,5,12.0,5.0
361,49,69,Female,SOCIAL-REC,DAILY,PARKINGPROTECT,4,12.0,5.0
362,50,47,Female,RECREATIONAL,WEEKLY,PARKINGPROTECT,3,12.0,5.0
363,51,29,Female,SOCIAL,MONTHLY,PARKINGPROTECT,3,12.0,5.0
364,52,33,Male,RECREATIONAL,WEEKLY,PARKINGPROTECT,3,12.0,5.0
365,53,28,Male,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
366,54,26,Male,SOCIAL-REC,WEEKLY,PARKINGPROTECT,5,12.0,5.0
367,55,33,Female,COMMUTER,DAILY,PARKINGPROTECT,4,12.0,5.0
368,56,32,Male,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
369,57,32,Female,SOCIAL-REC,WEEKLY,PARKINGPROTECT,4,12.0,5.0
370,58,31,Male,RECREATIONAL,DAILY,PARKINGPROTECT,5,12.0,5.0
371,59,31,Male,COMMUTER,WEEKLY,PARKINGPROTECT,4,12.0,5.0
372,60,33,Male,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
373,61,39,Male,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
374,62,38,Female,COMMUTER,WEEKLY,PARKINGPROTECT,5,12.0,5.0
375,63,30,Female,COMMUTER,WEEKLY,PARKINGPROTECT,5,12.0,5.0
376,64,21,Male,COMMUTER,DAILY,PARKINGPROTECT,4,12.0,5.0
377,65,70,Male,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
378,66,24,Female,COMMUTER,WEEKLY,PARKINGPROTECT,5,12.0,5.0
379,67,36,Female,COMMUTER,DAILY,PARKINGPROTECT,1,12.0,5.0
380,68,68,Female,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
381,69,43,Female,COMMUTER,DAILY,PARKINGPROTECT,4,12.0,5.0
382,70,54,Female,SOCIAL,RARELY,PARKINGPROTECT,4,12.0,5.0
383,71,71,Male,COMMUTER,DAILY,PARKINGPROTECT,3,12.0,5.0
384,72,49,Female,COMMUTER,DAILY,PARKINGPROTECT,4,12.0,5.0
385,73,36,Male,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
386,74,85,Male,RECREATIONAL,DAILY,PARKINGPROTECT,3,12.0,5.0
387,75,26,Female,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
388,76,34,Male,SOCIAL-REC,DAILY,PARKINGPROTECT,4,12.0,5.0
389,77,56,Female,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
390,0,32,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
391,1,32,Female,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
392,2,34,Female,SOCIAL,RARELY,CURBPROTECT,6,3.0,0.5
393,3,45,Male,RECREATIONAL,WEEKLY,CURBPROTECT,5,3.0,0.5
394,4,20,Female,SOCIAL,RARELY,CURBPROTECT,5,3.0,0.5
395,5,24,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
396,6,19,Male,COMMUTER,DAILY,CURBPROTECT,5,3.0,0.5
397,7,21,Male,RECREATIONAL,WEEKLY,CURBPROTECT,6,3.0,0.5
398,8,21,Male,RECREATIONAL,WEEKLY,CURBPROTECT,6,3.0,0.5
399,9,21,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
400,10,22,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
401,11,27,Female,SOCIAL,RARELY,CURBPROTECT,6,3.0,0.5
402,12,19,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
403,13,42,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
404,14,41,Female,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
405,15,53,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
406,16,45,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
407,17,46,Female,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
408,18,51,Female,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
409,19,50,Female,RECREATIONAL,WEEKLY,CURBPROTECT,6,3.0,0.5
410,20,50,Female,RECREATIONAL,DAILY,CURBPROTECT,5,3.0,0.5
411,21,60,Female,SOCIAL-REC,RARELY,CURBPROTECT,6,3.0,0.5
412,22,57,Prefer not to say,RECREATIONAL,DAILY,CURBPROTECT,6,3.0,0.5
413,23,49,Prefer not to say,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
414,24,50,Female,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
415,25,50,Female,RECREATIONAL,WEEKLY,CURBPROTECT,6,3.0,0.5
416,26,48,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
417,27,33,Female,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
418,28,56,Female,RECREATIONAL,DAILY,CURBPROTECT,5,3.0,0.5
419,29,58,Non-binary / Non-conforming,RECREATIONAL,DAILY,CURBPROTECT,6,3.0,0.5
420,30,20,Prefer not to say,RECREATIONAL,WEEKLY,CURBPROTECT,5,3.0,0.5
421,31,54,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
422,32,48,Female,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
423,33,50,Female,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
424,34,67,Male,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
425,35,21,Female,SOCIAL,RARELY,CURBPROTECT,4,3.0,0.5
426,36,60,Male,SOCIAL-REC,DAILY,CURBPROTECT,6,3.0,0.5
427,37,59,Female,SOCIAL,RARELY,CURBPROTECT,2,3.0,0.5
428,38,54,Male,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
429,39,54,Female,NONCYCLIST,RARELY,CURBPROTECT,5,3.0,0.5
430,40,41,Female,SOCIAL,MONTHLY,CURBPROTECT,2,3.0,0.5
431,41,52,Female,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
432,42,52,Female,COMMUTER,MONTHLY,CURBPROTECT,2,3.0,0.5
433,43,31,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
434,44,58,Female,RECREATIONAL,WEEKLY,CURBPROTECT,5,3.0,0.5
435,45,69,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
436,46,59,Female,SOCIAL,RARELY,CURBPROTECT,6,3.0,0.5
437,47,52,Female,SOCIAL-REC,MONTHLY,CURBPROTECT,2,3.0,0.5
438,48,43,Male,SOCIAL-REC,MONTHLY,CURBPROTECT,6,3.0,0.5
439,49,69,Female,SOCIAL-REC,DAILY,CURBPROTECT,1,3.0,0.5
440,50,47,Female,RECREATIONAL,WEEKLY,CURBPROTECT,6,3.0,0.5
441,51,29,Female,SOCIAL,MONTHLY,CURBPROTECT,5,3.0,0.5
442,52,33,Male,RECREATIONAL,WEEKLY,CURBPROTECT,5,3.0,0.5
443,53,28,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
444,54,26,Male,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
445,55,33,Female,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
446,56,32,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
447,57,32,Female,SOCIAL-REC,WEEKLY,CURBPROTECT,6,3.0,0.5
448,58,31,Male,RECREATIONAL,DAILY,CURBPROTECT,6,3.0,0.5
449,59,31,Male,COMMUTER,WEEKLY,CURBPROTECT,1,3.0,0.5
450,60,33,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
451,61,39,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
452,62,38,Female,COMMUTER,WEEKLY,CURBPROTECT,6,3.0,0.5
453,63,30,Female,COMMUTER,WEEKLY,CURBPROTECT,6,3.0,0.5
454,64,21,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
455,65,70,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
456,66,24,Female,COMMUTER,WEEKLY,CURBPROTECT,6,3.0,0.5
457,67,36,Female,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
458,68,68,Female,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
459,69,43,Female,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
460,70,54,Female,SOCIAL,RARELY,CURBPROTECT,3,3.0,0.5
461,71,71,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
462,72,49,Female,COMMUTER,DAILY,CURBPROTECT,5,3.0,0.5
463,73,36,Male,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
464,74,85,Male,RECREATIONAL,DAILY,CURBPROTECT,6,3.0,0.5
465,75,26,Female,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
466,76,34,Male,SOCIAL-REC,DAILY,CURBPROTECT,6,3.0,0.5
467,77,56,Female,COMMUTER,DAILY,CURBPROTECT,6,3.0,0.5
