,term,estimate,std.error,statistic,coef.type,p.value
1,WIDTH:CYCLIST_FREQDAILY,1.5889859584548283,0.1356800229026447,11.711274249968126,coefficient,2.874270133022462e-27
2,WIDTH:CYCLIST_FREQMONTHLY,1.5050057922955387,0.16044935326819879,9.379943026506622,coefficient,6.032724217915509e-19
3,WIDTH:CYCLIST_FREQRARELY,1.2640303683350487,0.17428448983073247,7.2526842151168625,coefficient,2.3004302345355715e-12
4,WIDTH:CYCLIST_FREQWEEKLY,1.6163264240766129,0.14353592530439116,11.26077963164226,coefficient,1.380506670474258e-25
5,HEIGHT:CYCLIST_FREQDAILY,1.395435350585285,0.13767215428907437,10.13593023070771,coefficient,1.5546983348187053e-21
6,HEIGHT:CYCLIST_FREQMONTHLY,1.5716940922289686,0.1750405469804896,8.979028684160552,coefficient,1.2716338551322618e-17
7,HEIGHT:CYCLIST_FREQRARELY,1.8742858436696102,0.24079689623014922,7.783679412039441,coefficient,6.706731758789853e-14
8,HEIGHT:CYCLIST_FREQWEEKLY,1.4831113347837876,0.14561674468820993,10.185032895491378,coefficient,1.0460539149443636e-21
9,1|2,1.5211443401285953,0.24172286345361998,6.292927025583004,scale,8.568489234875147e-10
10,2|3,3.2416221030454757,0.2927342145992164,11.073601722585089,scale,6.750407467037032e-25
11,3|4,4.485055442983818,0.3277445465428895,13.684607387958145,scale,5.93899597382944e-35
12,4|5,5.8539441897503375,0.3639220157406891,16.085710499915283,scale,8.459401364469114e-45
